code,name,unit,price,quantity,category
"FF-1190","PINZA PRESION",UNO,"3500",1,"FERRETERIA",
"FF-1191","REGULADOR COMPUTADORA",UNO,"1500",0,"FERRETERIA",
"FF-1192","SOQUE PLANO",UNO,"5000",2,"FERRETERIA",
"FF-1193","SOQUE NORMAL",UNO,"350",0,"FERRETERIA",
"FF-1194","BRIDA 4.8 X 400MM",UNO,"40",295,"FERRETERIA",
"FF-1195","SILICONA CALOR",UNO,"900",12,"FERRETERIA",
"FF-1196","SILICONA TRANSPARENTE",UNO,"1500",2,"FERRETERIA",
"FF-1197","ADAPTADOR NEGRO PEQUEÑO",UNO,"350",18,"FERRETERIA",
"FF-1198","ALICATE U OTROS SIMILARES",UNO,"2500",3,"FERRETERIA",
"FF-1201","ELECTRODO SOLD LAORABLE 6013",UNO,"50",110,"FERRETERIA",
"FF-1202","ELECTRODO ACERO INOXIDABLE",UNO,"160",0,"FERRETERIA",
"FF-1203","DESTORNILLADOR GRANDE PUNTA",UNO,"18000",0,"FERRETERIA",
"FF-1204","BRIDA 4.8 X 500MM",UNO,"50",291,"FERRETERIA",
"FF-1205","ADAPTADOR GRANDE BLANCO",UNO,"400",8,"FERRETERIA",
"FF-1206","FLASHI 12 VOLT",UNO,"1500",0,"FERRETERIA",
"FF-1207","ARANDELA DE PRESION",UNO,"20",0,"FERRETERIA",
"FF-1208","BREAK 63 AM PLANTA CUHILLA",UNO,"4500",0,"FERRETERIA",
"FF-1209","BROCHA 6mm",UNO,"1500",0,"FERRETERIA",
"FF-1210","BROCHA 5MM",UNO,"1300",0,"FERRETERIA",
"FF-1211","GRAMPA DE TECHO",UNO,"30",107,"FERRETERIA",
"FF-1212","RELAY 24 VOLT",PAR,"1300",21,"FERRETERIA",
"FF-1238","CONECTOR DORADO",UNO,"25",371,"FERRETERIA",
"FF-1278","VALVULA METAL",UNO,"350",19,"FERRETERIA",
"FF-1479","BISAGRAS",PAR,"1200",8,"FERRETERIA",
"FF-1480","CHEQUES 1PULG",UNO,"900",0,"FERRETERIA",
"FF-1481","VOLTIMETRO 12 VOLT",UNO,"3500",5,"FERRETERIA",
"FF-1482","CRANES 12X125",UNO,"1100",16,"FERRETERIA",
"FF-1483","CRANES 12X150",UNO,"1400",1,"FERRETERIA",
"FF-1484","CRANES 14X150",UNO,"1100",19,"FERRETERIA",
"FF-1485","BUJIAS NGK",UNO,"2500",23,"FERRETERIA",
"FF-1486","BUJIAS PRISMA Y TAINO",UNO,"2000",43,"FERRETERIA",
"FF-1487","BUJIAS CHAMPIOS",UNO,"1500",0,"FERRETERIA",
"FF-1488","BUJIAS FINA 4T",UNO,"1500",27,"FERRETERIA",
"FF-1489","MEDIDOR DE AIRE",UNO,"1500",0,"FERRETERIA",
"FF-1490","LLAVE ALLEN GRANDE",UNO,"3500",3,"FERRETERIA",
"FF-1493","DISCO CORTE SIERRA",UNO,"1500",0,"FERRETERIA",
"FF-1494","ESPONJA MOOR LAVAR AUTOS",UNO,"2000",11,"FERRETERIA",
"FF-1495","ESPIGA GRANDE PLANTA MACHO",UNO,"500",31,"FERRETERIA",
"FF-1496","GOMA PATA ARRANQ MOTOR",UNO,"650",7,"FERRETERIA",
"FF-1497","CHIRRIADORA",UNO,"3500",0,"FERRETERIA",
"FF-1498","CHIRRI CHIQUITO",UNO,"25",516,"FERRETERIA",
"FF-1501","LLAVE PVC AGUA",UNO,"650",0,"FERRETERIA",
"FF-1502","MULTIMETRO",UNO,"7500",0,"FERRETERIA",
"FF-1503","NIPLE 1/2",UNO,"350",1,"FERRETERIA",
"FF-1504","MANGUERA GASOLINA",UNO,"200",7,"FERRETERIA",
"FF-1505","MANG LAVADORA",UNO,"1500",0,"FERRETERIA",
"FF-1506","MANG SILICONA GAS",m,"800",10,"FERRETERIA",
"FF-1508","TUBO LED LAMPARA 40",UNO,"3500",21,"FERRETERIA",
"FF-1510","PROTECTOR VOLTAGE",UNO,"4000",6,"FERRETERIA",
"FF-1512","PESTILLO 3PG",UNO,"600",3,"FERRETERIA",
"FF-1513","PESA DIGITAL",UNO,"3800",1,"FERRETERIA",
"FF-1514","PUNTA DESTORNL",UNO,"3500",1,"FERRETERIA",
"FF-1516","SILICONA NEUTRA",UNO,"2400",5,"FERRETERIA",
"FF-1520","TAPA DE VALVULA",UNO,"300",301,"FERRETERIA",
"FF-1579","LLAVE MEZCLADORA DUCHA",UNO,"12500",0,"FERRETERIA",
"FF-1580","LLAVE LAVAMANOS",UNO,"3000",0,"FERRETERIA",
"FF-1581","DUCHA ELECTRICA",UNO,"7500",0,"FERRETERIA",
"FF-1582","LLAVE DE FREGADERO GANZO",UNO,"3700",0,"FERRETERIA",
"FF-1583","BARRAS SILICONA",UNO,"150",17,"FERRETERIA",
"FF-1585","MALLA PLASTICA PARA PERSIANAS",m,"2000",78.5,"FERRETERIA",
"FF-1591","CORNETA COMPRESOR",UNO,"20000",1,"FERRETERIA",
"FF-1592","PONCHE FRIO",UNO,"2000",23,"FERRETERIA",
"FF-1600","CALCOMANIAS FOSFORESCENTES",UNO,"100",0,"FERRETERIA",
"FF-1602","TOMA DE PANELES SOLARES",UNO,"2000",17,"FERRETERIA",
"FF-1611","PASTA PARA SOLDAR",UNO,"2000",9,"FERRETERIA",
"FF-1612","TUBOS DE ESTAÑO",UNO,"1500",9,"FERRETERIA",
"FF-1615","CABLE PARA BOCINAS DE AUTO",m,"400",15,"FERRETERIA",
"FF-1618","FUSIBLE 30 A",UNO,"100",16,"FERRETERIA",
"FF-1626","CAJA DE PRESILLAS",UNO,"250",7,"FERRETERIA",
"FF-1636","BASES DE RELAY",UNO,"1300",32,"FERRETERIA",
"FF-1641","CORREA DE LAVADORA MODERNA",UNO,"2400",2,"FERRETERIA",
"FF-1645","CAPACITOR 20 MF",UNO,"2000",1,"FERRETERIA",
